sfdr fdr k th h2 pnc pc nc i j maf_l maf_u
1 1 all 0.6 0.2 0.5 0.2 100 1 7 0.01 0.05
1 1 all 0.8 0.2 0.5 0.2 100 1 7 0.01 0.05
1 1 all 0.9 0.2 0.5 0.2 100 1 7 0.01 0.05
NaN NaN all 0 0.2 0.5 0.2 100 1 4 0.01 0.05
NaN NaN all 0.2 0.2 0.5 0.2 100 1 4 0.01 0.05
NaN NaN all 0.4 0.2 0.5 0.2 100 1 4 0.01 0.05
NaN NaN all 0.6 0.2 0.5 0.2 100 1 4 0.01 0.05
NaN NaN all 0.8 0.2 0.5 0.2 100 1 4 0.01 0.05
NaN NaN all 0.9 0.2 0.5 0.2 100 1 4 0.01 0.05
NaN NaN all 0 0.2 0.5 0.2 100 1 3 0.01 0.05
NaN NaN all 0.2 0.2 0.5 0.2 100 1 3 0.01 0.05
NaN NaN all 0.4 0.2 0.5 0.2 100 1 3 0.01 0.05
NaN NaN all 0.6 0.2 0.5 0.2 100 1 3 0.01 0.05
NaN NaN all 0.8 0.2 0.5 0.2 100 1 3 0.01 0.05
NaN NaN all 0.9 0.2 0.5 0.2 100 1 3 0.01 0.05
NaN NaN all 0 0.2 0.5 0.2 100 1 1 0.01 0.05
NaN NaN all 0.2 0.2 0.5 0.2 100 1 1 0.01 0.05
NaN NaN all 0.4 0.2 0.5 0.2 100 1 1 0.01 0.05
NaN NaN all 0.6 0.2 0.5 0.2 100 1 1 0.01 0.05
NaN NaN all 0.8 0.2 0.5 0.2 100 1 1 0.01 0.05
NaN NaN all 0.9 0.2 0.5 0.2 100 1 1 0.01 0.05
0.5 0.5 all 0 0.2 0.5 0.2 100 1 6 0.01 0.05
0.5 0.5 all 0.2 0.2 0.5 0.2 100 1 6 0.01 0.05
0.5 0.5 all 0.4 0.2 0.5 0.2 100 1 6 0.01 0.05
0.5 0.5 all 0.6 0.2 0.5 0.2 100 1 6 0.01 0.05
0.5 0.5 all 0.8 0.2 0.5 0.2 100 1 6 0.01 0.05
0.714285714285714 0.714285714285714 all 0.9 0.2 0.5 0.2 100 1 6 0.01 0.05
NaN NaN all 0 0.2 0.5 0.2 100 1 8 0.01 0.05
NaN NaN all 0.2 0.2 0.5 0.2 100 1 8 0.01 0.05
NaN NaN all 0.4 0.2 0.5 0.2 100 1 8 0.01 0.05
NaN NaN all 0.6 0.2 0.5 0.2 100 1 8 0.01 0.05
NaN NaN all 0.8 0.2 0.5 0.2 100 1 8 0.01 0.05
NaN NaN all 0.9 0.2 0.5 0.2 100 1 8 0.01 0.05
NaN NaN all 0 0.2 0.5 0.2 100 1 2 0.01 0.05
NaN NaN all 0.2 0.2 0.5 0.2 100 1 2 0.01 0.05
NaN NaN all 0.4 0.2 0.5 0.2 100 1 2 0.01 0.05
NaN NaN all 0.6 0.2 0.5 0.2 100 1 2 0.01 0.05
NaN NaN all 0.8 0.2 0.5 0.2 100 1 2 0.01 0.05
NaN NaN all 0.9 0.2 0.5 0.2 100 1 2 0.01 0.05
NaN NaN all 0 0.2 0.5 0.2 100 1 9 0.01 0.05
NaN NaN all 0.2 0.2 0.5 0.2 100 1 9 0.01 0.05
NaN NaN all 0.4 0.2 0.5 0.2 100 1 9 0.01 0.05
NaN NaN all 0.6 0.2 0.5 0.2 100 1 9 0.01 0.05
NaN NaN all 0.8 0.2 0.5 0.2 100 1 9 0.01 0.05
NaN NaN all 0.9 0.2 0.5 0.2 100 1 9 0.01 0.05
1 1 all 0 0.2 0.5 0.2 100 1 5 0.01 0.05
1 1 all 0.2 0.2 0.5 0.2 100 1 5 0.01 0.05
1 1 all 0.4 0.2 0.5 0.2 100 1 5 0.01 0.05
1 1 all 0.6 0.2 0.5 0.2 100 1 5 0.01 0.05
1 1 all 0.8 0.2 0.5 0.2 100 1 5 0.01 0.05
1 1 all 0.9 0.2 0.5 0.2 100 1 5 0.01 0.05
0.5 0.5 all 0 0.2 0.5 0.2 100 1 10 0.01 0.05
0.590909090909091 0.5 all 0.2 0.2 0.5 0.2 100 1 10 0.01 0.05
0.590909090909091 0.5 all 0.4 0.2 0.5 0.2 100 1 10 0.01 0.05
0.590909090909091 0.5 all 0.6 0.2 0.5 0.2 100 1 10 0.01 0.05
0.619047619047619 0.529411764705882 all 0.8 0.2 0.5 0.2 100 1 10 0.01 0.05
0.923076923076923 0.888888888888889 all 0.9 0.2 0.5 0.2 100 1 10 0.01 0.05
0.506024096385542 0.506024096385542 all 0 0.2 0.5 0.2 1000 1 7 0.01 0.05
